construct_id	junction	tag_form	completed_method_count	deferred_primary_method_count	supporting_dimensions	disfavoring_dimensions	robustness_class	integrated_perturbation_class	unresolved_conflicts
A89_2C_245_246_HA	245|246	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_245_246_G196_minimal	245|246	G196_minimal	4	3	oligomer_context;contact_network	direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_245_246_G196_practical_GS	245|246	G196_practical_GS	4	3	contact_network	direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_63_64_MAP8	63|64	MAP8	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_63_64_HA	63|64	HA	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_63_64_G196_minimal	63|64	G196_minimal	4	3	tag_specific_plm	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_63_64_G196_practical_GS	63|64	G196_practical_GS	4	3	tag_specific_plm	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_250_251_MAP8	250|251	MAP8	4	3	loop_proxy	oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE_MAPPING_UNCERTAIN	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_250_251_HA	250|251	HA	4	3	tag_specific_plm	oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE_MAPPING_UNCERTAIN	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_250_251_G196_minimal	250|251	G196_minimal	4	3	loop_proxy	oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE_MAPPING_UNCERTAIN	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_250_251_G196_practical_GS	250|251	G196_practical_GS	4	3	none	oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	METHOD_INCONCLUSIVE_MAPPING_UNCERTAIN	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_249_250_MAP8	249|250	MAP8	4	3	none	oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_249_250_HA	249|250	HA	4	3	none	oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_249_250_G196_minimal	249|250	G196_minimal	4	3	tag_specific_plm	oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_249_250_G196_practical_GS	249|250	G196_practical_GS	4	3	none	oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_207_208_MAP8	207|208	MAP8	4	3	none	tag_specific_plm;loop_proxy;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_207_208_HA	207|208	HA	4	3	tag_specific_plm	loop_proxy;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_207_208_G196_minimal	207|208	G196_minimal	4	3	tag_specific_plm	loop_proxy;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_207_208_G196_practical_GS	207|208	G196_practical_GS	4	3	none	tag_specific_plm;loop_proxy;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_241_242_MAP8	241|242	MAP8	4	3	none	loop_proxy;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_241_242_HA	241|242	HA	4	3	tag_specific_plm	loop_proxy;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_241_242_G196_minimal	241|242	G196_minimal	4	3	none	loop_proxy;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_241_242_G196_practical_GS	241|242	G196_practical_GS	4	3	none	tag_specific_plm;loop_proxy;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_251_252_MAP8	251|252	MAP8	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_251_252_HA	251|252	HA	4	3	tag_specific_plm	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_251_252_G196_minimal	251|252	G196_minimal	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_251_252_G196_practical_GS	251|252	G196_practical_GS	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_146_147_MAP8	146|147	MAP8	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_146_147_HA	146|147	HA	4	3	none	tag_specific_plm;loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_146_147_G196_minimal	146|147	G196_minimal	4	3	tag_specific_plm	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_146_147_G196_practical_GS	146|147	G196_practical_GS	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_218_219_MAP8	218|219	MAP8	4	3	tag_specific_plm;loop_proxy;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_218_219_HA	218|219	HA	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_218_219_G196_minimal	218|219	G196_minimal	4	3	loop_proxy;contact_network	tag_specific_plm;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_218_219_G196_practical_GS	218|219	G196_practical_GS	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	TAG_SPECIFIC_DISAGREEMENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_223_224_MAP8	223|224	MAP8	4	3	loop_proxy	tag_specific_plm;oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_223_224_HA	223|224	HA	4	3	none	tag_specific_plm;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_223_224_G196_minimal	223|224	G196_minimal	4	3	loop_proxy	tag_specific_plm;oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_223_224_G196_practical_GS	223|224	G196_practical_GS	4	3	none	tag_specific_plm;oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred
A89_2C_256_257_MAP8	256|257	MAP8	4	3	tag_specific_plm	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_256_257_HA	256|257	HA	4	3	tag_specific_plm	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_256_257_G196_minimal	256|257	G196_minimal	4	3	tag_specific_plm	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_256_257_G196_practical_GS	256|257	G196_practical_GS	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_287_288_MAP8	287|288	MAP8	4	3	loop_proxy;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_287_288_HA	287|288	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_287_288_G196_minimal	287|288	G196_minimal	4	3	loop_proxy;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_287_288_G196_practical_GS	287|288	G196_practical_GS	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_248_249_MAP8	248|249	MAP8	4	3	none	oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_248_249_HA	248|249	HA	4	3	none	oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_248_249_G196_minimal	248|249	G196_minimal	4	3	tag_specific_plm	oligomer_context;contact_network;direct_homolog_insertion	METHOD_DEPENDENT_OR_INCOMPLETE	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_248_249_G196_practical_GS	248|249	G196_practical_GS	4	3	none	oligomer_context;contact_network;direct_homolog_insertion	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_CORE_CAUTION;structure_prediction_deferred;energy_deferred;tag_specific_plm_disagreement
A89_2C_288_289_MAP8	288|289	MAP8	4	3	loop_proxy;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_288_289_HA	288|289	HA	4	3	tag_specific_plm;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	PLM_SUPPORTED_BUT_DIRECT_OR_FUNCTIONAL_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_288_289_G196_minimal	288|289	G196_minimal	4	3	loop_proxy;contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_288_289_G196_practical_GS	288|289	G196_practical_GS	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_289_290_MAP8	289|290	MAP8	4	3	loop_proxy;oligomer_context;contact_network	direct_homolog_insertion;functional_context	MULTI_METHOD_RELATIVE_SUPPORT_WITH_DIRECT_CONFLICT	RELATIVELY_LOWER_PERTURBATION__DIRECT_EVIDENCE_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_289_290_HA	289|290	HA	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_289_290_G196_minimal	289|290	G196_minimal	4	3	loop_proxy;oligomer_context;contact_network	direct_homolog_insertion;functional_context	MULTI_METHOD_RELATIVE_SUPPORT_WITH_DIRECT_CONFLICT	RELATIVELY_LOWER_PERTURBATION__DIRECT_EVIDENCE_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_289_290_G196_practical_GS	289|290	G196_practical_GS	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_290_291_MAP8	290|291	MAP8	4	3	loop_proxy;oligomer_context;contact_network	direct_homolog_insertion;functional_context	MULTI_METHOD_RELATIVE_SUPPORT_WITH_DIRECT_CONFLICT	RELATIVELY_LOWER_PERTURBATION__DIRECT_EVIDENCE_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_290_291_HA	290|291	HA	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_290_291_G196_minimal	290|291	G196_minimal	4	3	loop_proxy;oligomer_context;contact_network	direct_homolog_insertion;functional_context	MULTI_METHOD_RELATIVE_SUPPORT_WITH_DIRECT_CONFLICT	RELATIVELY_LOWER_PERTURBATION__DIRECT_EVIDENCE_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_290_291_G196_practical_GS	290|291	G196_practical_GS	4	3	contact_network	direct_homolog_insertion;functional_context	METHOD_DEPENDENT_OR_INCOMPLETE	METHOD_INCONCLUSIVE	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_203_204_MAP8	203|204	MAP8	4	3	none	loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_203_204_HA	203|204	HA	4	3	none	tag_specific_plm;loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_203_204_G196_minimal	203|204	G196_minimal	4	3	none	tag_specific_plm;loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
A89_2C_203_204_G196_practical_GS	203|204	G196_practical_GS	4	3	none	tag_specific_plm;loop_proxy;oligomer_context;contact_network;direct_homolog_insertion;functional_context	CONSISTENTLY_DISFAVORED	STRUCTURALLY_DISFAVORED_OR_CONTEXT_CONSTRAINED	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;structure_prediction_deferred;energy_deferred
