junction	v1_conservation_class	v2_conservation_class	v1_priority_interpretation	v2_priority_interpretation	v1_type_weighted_window_mean_identity	v2_type_weighted_window_mean_identity	v1_type_weighted_window_mean_entropy	v2_type_weighted_window_mean_entropy	v1_expanded_insertion_frequency	v2_expanded_insertion_frequency	v2_expanded_indel_category	interpretation_changed
52|53	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.700320	0.705989	0.735339	0.708583	0.000000	0.000000	none	False
53|54	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.750000	0.756494	0.657442	0.631910	0.000000	0.000000	none	False
54|55	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.804487	0.811688	0.600546	0.577571	0.000000	0.000000	none	False
55|56	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.730769	0.737013	0.742116	0.724753	0.000000	0.000000	none	False
56|57	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.653846	0.660173	0.762497	0.745314	0.000000	0.000000	none	False
57|58	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.709402	0.717533	0.711031	0.689810	0.000000	0.000000	none	False
58|59	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.645299	0.653680	0.930026	0.905874	0.000000	0.000000	none	False
59|60	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.683761	0.689394	0.790424	0.772730	0.000000	0.000000	none	False
60|61	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.630247	0.633838	0.824119	0.814464	0.000000	0.000000	none	False
61|62	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.560624	0.563673	0.973982	0.968541	0.000000	0.000000	none	False
62|63	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.481564	0.484668	1.169579	1.159257	0.000000	0.000000	none	False
63|64	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.403146	0.406313	1.315780	1.293869	0.000000	0.000000	none	False
64|65	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.409556	0.412807	1.283301	1.261095	0.000000	0.000000	none	False
65|66	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.426650	0.425433	1.245059	1.229672	0.053097	0.000000	none	True
66|67	indel_signal	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.428787	0.427597	1.289677	1.258012	0.008850	0.000000	none	True
67|68	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.496094	0.489286	1.181296	1.147062	0.000000	0.000000	none	False
68|69	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.495667	0.488853	1.279030	1.234788	0.000000	0.000000	none	False
69|70	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.424183	0.412013	1.515129	1.475056	0.000000	0.000000	none	False
70|71	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.472260	0.460515	1.382323	1.333147	0.000000	0.000000	none	False
71|72	variable	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.450358	0.438509	1.504468	1.431206	0.000000	0.000000	none	False
72|73	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.447782	0.436345	1.536628	1.451314	0.000000	0.000000	none	False
73|74	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.513131	0.496770	1.411311	1.352335	0.000000	0.000000	none	False
74|75	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.586849	0.559541	1.244340	1.220903	0.000000	0.000000	none	False
75|76	indel_signal	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.652536	0.620580	1.165800	1.164930	0.000000	0.000000	none	True
76|77	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.653605	0.621662	1.157554	1.156597	0.000000	0.000000	none	True
77|78	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.649865	0.622384	1.164294	1.154036	0.000000	0.000000	none	True
78|79	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.670165	0.641864	1.049645	1.056834	0.000000	0.000000	none	True
79|80	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.603925	0.581258	1.086616	1.095244	0.000000	0.000000	none	True
80|81	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.682344	0.659613	0.960255	0.978623	0.044248	0.000000	none	True
81|82	indel_signal	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.754897	0.737535	0.715970	0.730063	0.000000	0.000000	none	True
82|83	indel_signal	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.770922	0.752886	0.629781	0.655909	0.000000	0.000000	none	True
83|84	indel_signal	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.792824	0.774892	0.507635	0.557850	0.000000	0.000000	none	True
84|85	indel_signal	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.871884	0.853896	0.370994	0.427696	0.000000	0.000000	none	True
85|86	indel_signal	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.884704	0.871212	0.298535	0.329434	0.000000	0.000000	none	True
86|87	indel_signal	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.885773	0.884199	0.294226	0.289942	0.000000	0.000000	none	True
87|88	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.882479	0.886364	0.334001	0.314178	0.000000	0.000000	none	False
88|89	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.882479	0.886364	0.334001	0.314178	0.000000	0.000000	none	False
89|90	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.882479	0.886364	0.317126	0.299839	0.000000	0.000000	none	False
90|91	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.804487	0.808442	0.345753	0.328733	0.000000	0.000000	none	False
91|92	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.879273	0.884199	0.261379	0.239692	0.000000	0.000000	none	False
92|93	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.878205	0.883117	0.269626	0.248025	0.000000	0.000000	none	False
93|94	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.879273	0.883117	0.266500	0.250190	0.000000	0.000000	none	False
94|95	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.801282	0.805195	0.472601	0.452916	0.000000	0.000000	none	False
95|96	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.795940	0.799784	0.505084	0.485716	0.000000	0.000000	none	False
96|97	indel_signal	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.743471	0.745926	0.633769	0.629354	0.000000	0.000000	none	True
97|98	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.668796	0.671251	0.768531	0.753151	0.000000	0.000000	none	True
98|99	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.662385	0.653935	0.799669	0.810515	0.000000	0.000000	none	True
99|100	indel_signal	variable	unchanged; no decisive evolutionary rescue	outside_strict_review_only; near-miss plus V2 evolutionary support	0.660249	0.651770	0.780302	0.792098	0.000000	0.000000	none	True
100|101	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.605272	0.582867	0.954932	0.976847	0.000000	0.000000	none	True
101|102	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.576426	0.546071	1.092292	1.110341	0.000000	0.000000	none	True
102|103	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.587109	0.551482	1.179511	1.141912	0.000000	0.000000	none	True
103|104	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.583904	0.536330	1.201063	1.207244	0.000000	0.000000	none	True
104|105	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.567879	0.522261	1.274100	1.272417	0.000000	0.000000	none	True
105|106	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.492024	0.446503	1.362474	1.355791	0.000000	0.000000	none	True
106|107	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.492024	0.446503	1.309916	1.304374	0.000000	0.000000	none	True
107|108	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.496298	0.450832	1.285680	1.279906	0.000000	0.000000	none	True
108|109	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.548767	0.504690	1.156995	1.136268	0.070796	0.000000	none	True
109|110	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.545451	0.501443	1.189441	1.175662	0.106195	0.000000	none	True
110|111	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.556134	0.522006	1.133985	1.098506	0.000000	0.000000	none	True
111|112	indel_signal	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.574297	0.539322	1.045916	1.014048	0.000000	0.000000	none	True
112|113	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.629274	0.608225	0.871286	0.829299	0.000000	0.000000	none	False
113|114	variable	variable	new_outside_strict10_for_later_review; near-miss plus evolutionary variability	unchanged_or_unresolved	0.660257	0.646104	0.729237	0.693388	0.000000	0.000000	none	False
114|115	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.711004	0.701659	0.673338	0.693656	0.000000	0.000000	none	False
115|116	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.647970	0.649711	0.785851	0.768643	0.000000	0.000000	none	False
116|117	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.644765	0.645382	0.781168	0.770316	0.000000	0.000000	none	False
117|118	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.722756	0.723304	0.676321	0.670297	0.000000	0.000000	none	False
118|119	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.800748	0.801227	0.522778	0.518988	0.000000	0.000000	none	False
119|120	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.728632	0.729077	0.665101	0.656417	0.000000	0.000000	none	False
120|121	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.728633	0.729077	0.665101	0.656417	0.000000	0.000000	none	False
121|122	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.806624	0.806999	0.497892	0.493226	0.000000	0.000000	none	False
122|123	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.797009	0.798341	0.549718	0.540352	0.000000	0.000000	none	False
123|124	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.797009	0.798341	0.549718	0.540352	0.000000	0.000000	none	False
124|125	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.797009	0.798341	0.549718	0.540352	0.000000	0.000000	none	False
125|126	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.810897	0.812410	0.495549	0.485767	0.000000	0.000000	none	False
126|127	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.750534	0.752525	0.549723	0.539698	0.000000	0.000000	none	False
127|128	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.750534	0.752525	0.466022	0.451214	0.000000	0.000000	none	False
128|129	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.770833	0.772006	0.389421	0.376034	0.000000	0.000000	none	False
129|130	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.733440	0.733045	0.472121	0.459113	0.000000	0.000000	none	False
130|131	variable	variable	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.656517	0.656205	0.561516	0.547052	0.000000	0.000000	none	False
131|132	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.729701	0.729437	0.410947	0.401290	0.000000	0.000000	none	False
132|133	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.727564	0.727273	0.425283	0.415771	0.000000	0.000000	none	False
133|134	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.724359	0.724026	0.444882	0.435564	0.000000	0.000000	none	False
134|135	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.733974	0.732684	0.393057	0.388437	0.000000	0.000000	none	False
135|136	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.670940	0.669913	0.459804	0.455612	0.000000	0.000000	none	False
136|137	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.670940	0.669913	0.459804	0.455612	0.000000	0.000000	none	False
137|138	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.592949	0.591991	0.575711	0.572416	0.000000	0.000000	none	False
138|139	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.635684	0.634199	0.558323	0.551044	0.000000	0.000000	none	False
139|140	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.628205	0.626623	0.518020	0.515464	0.000000	0.000000	none	False
140|141	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.628205	0.626623	0.518020	0.515464	0.000000	0.000000	none	False
141|142	variable	variable	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.659188	0.659091	0.467923	0.465286	0.000000	0.000000	none	False
142|143	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.736111	0.735931	0.378529	0.377348	0.000000	0.000000	none	False
143|144	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.736111	0.735931	0.378529	0.377348	0.000000	0.000000	none	False
144|145	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.738248	0.738095	0.364192	0.362866	0.000000	0.000000	none	False
145|146	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.741453	0.741342	0.344593	0.343073	0.000000	0.000000	none	False
146|147	intermediate	intermediate	unchanged; no decisive evolutionary rescue	unchanged_or_unresolved	0.741453	0.741342	0.344593	0.343073	0.000000	0.000000	none	False
147|148	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.789530	0.788961	0.348616	0.346410	0.000000	0.000000	none	False
148|149	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.789530	0.788961	0.348616	0.346410	0.000000	0.000000	none	False
149|150	intermediate	intermediate	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.867521	0.866883	0.232709	0.229606	0.000000	0.000000	none	False
150|151	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.900641	0.900433	0.144224	0.144647	0.000000	0.000000	none	False
151|152	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.977564	0.977273	0.111620	0.111745	0.000000	0.000000	none	False
152|153	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.977564	0.977273	0.111620	0.111745	0.000000	0.000000	none	False
153|154	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.983974	0.983766	0.079016	0.078844	0.000000	0.000000	singleton_or_rare	False
154|155	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.982906	0.982684	0.087263	0.087178	0.000000	0.000000	singleton_or_rare	False
155|156	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.978632	0.979437	0.115048	0.109951	0.000000	0.000000	singleton_or_rare	False
156|157	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.973290	0.974026	0.147531	0.142752	0.000000	0.000000	singleton_or_rare	False
157|158	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.973291	0.974026	0.147531	0.142752	0.000000	0.000000	singleton_or_rare	False
158|159	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.967949	0.969697	0.176158	0.167303	0.000000	0.000000	singleton_or_rare	False
159|160	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.981837	0.983766	0.113635	0.105126	0.000000	0.000000	singleton_or_rare	False
160|161	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.981837	0.983766	0.113635	0.105126	0.000000	0.000000	singleton_or_rare	False
161|162	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.981837	0.983766	0.113635	0.105126	0.000000	0.000000	singleton_or_rare	False
162|163	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.982906	0.984849	0.105388	0.096793	0.000000	0.000000	singleton_or_rare	False
163|164	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.982906	0.984849	0.105388	0.096793	0.000000	0.000000	singleton_or_rare	False
164|165	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.982906	0.984849	0.105388	0.096793	0.000000	0.000000	singleton_or_rare	False
165|166	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.969017	0.974026	0.159557	0.143216	0.000000	0.000000	none	False
166|167	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.970085	0.975108	0.151310	0.134883	0.000000	0.000000	none	False
167|168	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.974359	0.978355	0.123525	0.112109	0.000000	0.000000	none	False
168|169	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.979701	0.983766	0.091042	0.079308	0.000000	0.000000	none	False
169|170	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.979701	0.983766	0.091042	0.079308	0.000000	0.000000	none	False
170|171	conserved	conserved	decreased_or_excluded; hard functional feature dominates conservation	decreased_or_excluded; hard functional feature dominates	0.942308	0.945887	0.229248	0.220479	0.000000	0.000000	none	False
171|172	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.943376	0.946970	0.221002	0.212145	0.000000	0.000000	none	False
172|173	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.920940	0.925325	0.291032	0.281008	0.000000	0.000000	none	False
173|174	conserved	conserved	decreased; conserved local window	decreased; conserved local window	0.920940	0.925325	0.291032	0.281008	0.000000	0.000000	none	False
174|175	conserved	conserved	unchanged; strict geometry but conservation does not clear functional risk	decreased; conserved local window	0.920940	0.925325	0.291032	0.281008	0.000000	0.000000	none	False
