sequence_id	accession	source_database	organism	taxonomy_id	type_label	entry_type	polyprotein_length	sequence_length	boundary_start	boundary_end	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	unknown_fraction	completeness	retain	retain_reason	exclude_reason	retrieval_date
P23008|A1A|uniprot_chain_exact	P23008	UniProtKB	Human rhinovirus 1A	12134	A1A	UniProtKB reviewed (Swiss-Prot)	2157	322	1095	1416	uniprot_chain_exact	high	1.0	1.0	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
P12916|A1B|uniprot_chain_exact	P12916	UniProtKB	Human rhinovirus 1B	2777147	A1B	UniProtKB reviewed (Swiss-Prot)	2157	322	1095	1416	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
P04936|A2|uniprot_chain_exact	P04936	UniProtKB	Human rhinovirus 2	12130	A2	UniProtKB reviewed (Swiss-Prot)	2150	322	1088	1409	uniprot_chain_exact	high	1.0	1.0	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V441|A20|a89_local_alignment_provisional	B9V441	UniProtKB	rhinovirus A20	147675	A20	UniProtKB unreviewed (TrEMBL)	2166	321	1105	1425	a89_local_alignment_provisional	provisional	1.0000	0.6698	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A1L1YP39|A21|a89_local_alignment_provisional	A0A1L1YP39	UniProtKB	rhinovirus A21	44128	A21	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A1P8DD92|A22|a89_local_alignment_provisional	A0A1P8DD92	UniProtKB	rhinovirus A22	185896	A22	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7601	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE6|A23|a89_local_alignment_provisional	A5GZE6	UniProtKB	Human rhinovirus 23	12135	A23	UniProtKB unreviewed (TrEMBL)	2149	322	1087	1408	a89_local_alignment_provisional	provisional	1.0000	0.7196	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC08|A24|a89_local_alignment_provisional	A7KC08	UniProtKB	rhinovirus A24	185897	A24	UniProtKB unreviewed (TrEMBL)	2154	322	1092	1413	a89_local_alignment_provisional	provisional	1.0000	0.7531	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V444|A25|a89_local_alignment_provisional	B9V444	UniProtKB	rhinovirus A25	185898	A25	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF7|A28|a89_local_alignment_provisional	A5GZF7	UniProtKB	rhinovirus A28	147672	A28	UniProtKB unreviewed (TrEMBL)	2161	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.6792	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V446|A29|a89_local_alignment_provisional	B9V446	UniProtKB	rhinovirus A29	44129	A29	UniProtKB unreviewed (TrEMBL)	2154	322	1092	1413	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZG1|A30|a89_local_alignment_provisional	A5GZG1	UniProtKB	rhinovirus A30	185901	A30	UniProtKB unreviewed (TrEMBL)	2149	322	1087	1408	a89_local_alignment_provisional	provisional	1.0000	0.7134	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V447|A31|a89_local_alignment_provisional	B9V447	UniProtKB	rhinovirus A31	185902	A31	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7321	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V448|A32|a89_local_alignment_provisional	B9V448	UniProtKB	rhinovirus A32	185903	A32	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7445	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V449|A33|a89_local_alignment_provisional	B9V449	UniProtKB	rhinovirus A33	185904	A33	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7562	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF0|A34|a89_local_alignment_provisional	A5GZF0	UniProtKB	rhinovirus A34	185905	A34	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF4|A36|a89_local_alignment_provisional	A5GZF4	UniProtKB	rhinovirus A36	147673	A36	UniProtKB unreviewed (TrEMBL)	2161	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.9626	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE4|A38|a89_local_alignment_provisional	A5GZE4	UniProtKB	rhinovirus A38	185906	A38	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A0G2T687|A39|a89_local_alignment_provisional	A0A0G2T687	UniProtKB	rhinovirus A39	185907	A39	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V450|A40|a89_local_alignment_provisional	B9V450	UniProtKB	rhinovirus A40	185908	A40	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE0|A41|a89_local_alignment_provisional	A5GZE0	UniProtKB	rhinovirus A41	185909	A41	UniProtKB unreviewed (TrEMBL)	2161	322	1099	1420	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V452|A43|a89_local_alignment_provisional	B9V452	UniProtKB	rhinovirus A43	167321	A43	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE8|A44|a89_local_alignment_provisional	A5GZE8	UniProtKB	rhinovirus A44	185910	A44	UniProtKB unreviewed (TrEMBL)	2154	322	1092	1413	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V453|A45|a89_local_alignment_provisional	B9V453	UniProtKB	rhinovirus A45	147676	A45	UniProtKB unreviewed (TrEMBL)	2152	321	1091	1411	a89_local_alignment_provisional	provisional	1.0000	0.5607	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF5|A46|a89_local_alignment_provisional	A5GZF5	UniProtKB	rhinovirus A46	167324	A46	UniProtKB unreviewed (TrEMBL)	2164	321	1103	1423	a89_local_alignment_provisional	provisional	1.0000	0.6667	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V454|A47|a89_local_alignment_provisional	B9V454	UniProtKB	rhinovirus A47	185911	A47	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE5|A49|a89_local_alignment_provisional	A5GZE5	UniProtKB	rhinovirus A49	44131	A49	UniProtKB unreviewed (TrEMBL)	2150	322	1088	1409	a89_local_alignment_provisional	provisional	1.0000	0.7040	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V456|A50|a89_local_alignment_provisional	B9V456	UniProtKB	rhinovirus A50	44132	A50	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0062	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V457|A51|a89_local_alignment_provisional	B9V457	UniProtKB	rhinovirus A51	185912	A51	UniProtKB unreviewed (TrEMBL)	2165	321	1104	1424	a89_local_alignment_provisional	provisional	1.0000	0.6698	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF6|A53|a89_local_alignment_provisional	A5GZF6	UniProtKB	rhinovirus A53	185913	A53	UniProtKB unreviewed (TrEMBL)	2162	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.6572	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V459|A54|a89_local_alignment_provisional	B9V459	UniProtKB	rhinovirus A54	185914	A54	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZG0|A55|a89_local_alignment_provisional	A5GZG0	UniProtKB	rhinovirus A55	185915	A55	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V461|A56|a89_local_alignment_provisional	B9V461	UniProtKB	rhinovirus A56	185916	A56	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V462|A57|a89_local_alignment_provisional	B9V462	UniProtKB	rhinovirus A57	185917	A57	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7414	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V463|A58|a89_local_alignment_provisional	B9V463	UniProtKB	rhinovirus A58	44133	A58	UniProtKB unreviewed (TrEMBL)	2160	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.9377	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE9|A59|a89_local_alignment_provisional	A5GZE9	UniProtKB	rhinovirus A59	185918	A59	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7250	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V464|A60|a89_local_alignment_provisional	B9V464	UniProtKB	rhinovirus A60	185919	A60	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V465|A61|a89_local_alignment_provisional	B9V465	UniProtKB	rhinovirus A61	185920	A61	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V466|A62|a89_local_alignment_provisional	B9V466	UniProtKB	rhinovirus A62	44134	A62	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V467|A63|a89_local_alignment_provisional	B9V467	UniProtKB	rhinovirus A63	185921	A63	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC09|A64|a89_local_alignment_provisional	A7KC09	UniProtKB	rhinovirus A64	185922	A64	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7539	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V468|A65|a89_local_alignment_provisional	B9V468	UniProtKB	rhinovirus A65	44135	A65	UniProtKB unreviewed (TrEMBL)	2165	321	1104	1424	a89_local_alignment_provisional	provisional	1.0000	0.6635	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V469|A66|a89_local_alignment_provisional	B9V469	UniProtKB	rhinovirus A66	185923	A66	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V470|A67|a89_local_alignment_provisional	B9V470	UniProtKB	rhinovirus A67	185924	A67	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7414	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V471|A68|a89_local_alignment_provisional	B9V471	UniProtKB	rhinovirus A68	185925	A68	UniProtKB unreviewed (TrEMBL)	2166	321	1105	1425	a89_local_alignment_provisional	provisional	1.0000	0.6572	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF2|A7|a89_local_alignment_provisional	A5GZF2	UniProtKB	rhinovirus A7	44136	A7	UniProtKB unreviewed (TrEMBL)	2162	321	1102	1422	a89_local_alignment_provisional	provisional	1.0000	0.9315	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V473|A71|a89_local_alignment_provisional	B9V473	UniProtKB	rhinovirus A71	185927	A71	UniProtKB unreviewed (TrEMBL)	2164	321	1103	1423	a89_local_alignment_provisional	provisional	1.0000	0.6792	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE1|A73|a89_local_alignment_provisional	A5GZE1	UniProtKB	rhinovirus A73	185928	A73	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE3|A74|a89_local_alignment_provisional	A5GZE3	UniProtKB	rhinovirus A74	185929	A74	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7445	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF9|A75|a89_local_alignment_provisional	A5GZF9	UniProtKB	rhinovirus A75	185930	A75	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF1|A76|a89_local_alignment_provisional	A5GZF1	UniProtKB	rhinovirus A76	185931	A76	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7469	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V475|A77|a89_local_alignment_provisional	B9V475	UniProtKB	rhinovirus A77	185932	A77	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7196	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC10|A78|a89_local_alignment_provisional	A7KC10	UniProtKB	rhinovirus A78	147685	A78	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.6906	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V434|A8|a89_local_alignment_provisional	B9V434	UniProtKB	rhinovirus A8	185890	A8	UniProtKB unreviewed (TrEMBL)	2154	321	1093	1413	a89_local_alignment_provisional	provisional	1.0000	0.5919	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V477|A80|a89_local_alignment_provisional	B9V477	UniProtKB	rhinovirus A80	185934	A80	UniProtKB unreviewed (TrEMBL)	2160	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.6500	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V478|A81|a89_local_alignment_provisional	B9V478	UniProtKB	Rhinovirus A81	185935	A81	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7601	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF8|A82|a89_local_alignment_provisional	A5GZF8	UniProtKB	rhinovirus A82	167322	A82	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7414	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V484|A85|a89_local_alignment_provisional	B9V484	UniProtKB	rhinovirus A85	185937	A85	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF3|A88|a89_local_alignment_provisional	A5GZF3	UniProtKB	rhinovirus A88	185939	A88	UniProtKB unreviewed (TrEMBL)	2160	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.9439	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A89_REF|A89|repository_authoritative	repository_reference	project_repository	HRV-A89 authoritative project 2C	650130	A89	curated_project_reference		321	1	321	repository_authoritative_2C	authoritative	1.0000	1.0000	0.0000	complete_2C	True	authoritative_A89_anchor		2026-08-21
B9V435|A9|a89_local_alignment_provisional	B9V435	UniProtKB	rhinovirus A9	185891	A9	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7469	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V488|A90|a89_local_alignment_provisional	B9V488	UniProtKB	rhinovirus A90	185940	A90	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7250	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC11|A94|a89_local_alignment_provisional	A7KC11	UniProtKB	rhinovirus A94	185941	A94	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7570	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V491|A95|a89_local_alignment_provisional	B9V491	UniProtKB	Human rhinovirus A95	185942	A95	UniProtKB unreviewed (TrEMBL)	2154	321	1093	1413	a89_local_alignment_provisional	provisional	1.0000	0.5919	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V492|A96|a89_local_alignment_provisional	B9V492	UniProtKB	rhinovirus A96	185943	A96	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V494|A98|a89_local_alignment_provisional	B9V494	UniProtKB	rhinovirus A98	185944	A98	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
