construct_id	junction	tag_form	model_file	ss_status	tag_mean_sasa_A2	local_coil_fraction	local_helix_fraction	local_sheet_fraction	tag_coil_fraction
A89_2C_216_217_G196_practical_GS	216|217	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_216_217_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	89.44644165039062	0.625	0.0	0.375	1.0
A89_2C_216_217_HA	216|217	HA	results/open_structure_007/tier1_shallow/A89_2C_216_217_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	79.43717956542969	0.5	0.125	0.375	0.7777777777777778
A89_2C_216_217_MAP8	216|217	MAP8	results/open_structure_007/tier1_shallow/A89_2C_216_217_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	86.3569107055664	0.625	0.0	0.375	1.0
A89_2C_224_225_G196_minimal	224|225	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_224_225_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	140.1671905517578	0.875	0.125	0.0	1.0
A89_2C_224_225_G196_practical_GS	224|225	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_224_225_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	105.18677520751953	0.875	0.125	0.0	1.0
A89_2C_224_225_HA	224|225	HA	results/open_structure_007/tier1_shallow/A89_2C_224_225_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	109.37726593017578	0.625	0.375	0.0	0.6666666666666666
A89_2C_224_225_MAP8	224|225	MAP8	results/open_structure_007/tier1_shallow/A89_2C_224_225_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	88.27323913574219	0.875	0.125	0.0	1.0
A89_2C_248_249_G196_minimal	248|249	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_248_249_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	120.63948059082031	0.375	0.5	0.125	0.6
A89_2C_248_249_G196_practical_GS	248|249	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_248_249_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	106.89437866210938	0.5	0.375	0.125	1.0
A89_2C_248_249_HA	248|249	HA	results/open_structure_007/tier1_shallow/A89_2C_248_249_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	103.18181610107422	0.375	0.5	0.125	0.7777777777777778
A89_2C_248_249_MAP8	248|249	MAP8	results/open_structure_007/tier1_shallow/A89_2C_248_249_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	99.85435485839844	0.5	0.375	0.125	1.0
A89_2C_256_257_G196_minimal	256|257	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_256_257_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	127.45146179199219	0.875	0.0	0.125	1.0
A89_2C_256_257_G196_practical_GS	256|257	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_256_257_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	89.84463500976562	0.875	0.0	0.125	1.0
A89_2C_256_257_HA	256|257	HA	results/open_structure_007/tier1_shallow/A89_2C_256_257_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	104.98464965820312	0.5	0.375	0.125	1.0
A89_2C_256_257_MAP8	256|257	MAP8	results/open_structure_007/tier1_shallow/A89_2C_256_257_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	75.86508178710938	0.5	0.375	0.125	1.0
A89_2C_287_288_G196_minimal	287|288	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_287_288_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	124.7030029296875	0.625	0.0	0.375	1.0
A89_2C_287_288_G196_practical_GS	287|288	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_287_288_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	108.12867736816406	0.625	0.0	0.375	1.0
A89_2C_287_288_HA	287|288	HA	results/open_structure_007/tier1_shallow/A89_2C_287_288_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	113.94515228271484	0.625	0.0	0.375	1.0
A89_2C_287_288_MAP8	287|288	MAP8	results/open_structure_007/tier1_shallow/A89_2C_287_288_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	87.2240982055664	0.625	0.0	0.375	1.0
A89_2C_288_289_G196_minimal	288|289	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_288_289_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	125.4541015625	0.625	0.0	0.375	1.0
A89_2C_288_289_G196_practical_GS	288|289	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_288_289_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	101.78269958496094	0.625	0.0	0.375	1.0
A89_2C_288_289_HA	288|289	HA	results/open_structure_007/tier1_shallow/A89_2C_288_289_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	128.161865234375	0.625	0.0	0.375	1.0
A89_2C_288_289_MAP8	288|289	MAP8	results/open_structure_007/tier1_shallow/A89_2C_288_289_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	96.21713256835938	0.625	0.0	0.375	1.0
A89_2C_289_290_G196_minimal	289|290	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	131.48837280273438	0.625	0.0	0.375	1.0
A89_2C_289_290_G196_practical_GS	289|290	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_289_290_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	121.95902252197266	0.625	0.0	0.375	1.0
A89_2C_289_290_HA	289|290	HA	results/open_structure_007/tier1_shallow/A89_2C_289_290_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	138.2045135498047	0.625	0.0	0.375	1.0
A89_2C_289_290_MAP8	289|290	MAP8	results/open_structure_007/tier1_shallow/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	106.7349853515625	0.25	0.375	0.375	0.875
A89_2C_290_291_G196_minimal	290|291	G196_minimal	results/open_structure_007/tier1_shallow/A89_2C_290_291_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	146.05564880371094	0.75	0.0	0.25	1.0
A89_2C_290_291_G196_practical_GS	290|291	G196_practical_GS	results/open_structure_007/tier1_shallow/A89_2C_290_291_G196_practical_GS_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	110.30634307861328	0.25	0.5	0.25	1.0
A89_2C_290_291_HA	290|291	HA	results/open_structure_007/tier1_shallow/A89_2C_290_291_HA_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	136.230712890625	0.375	0.375	0.25	1.0
A89_2C_290_291_MAP8	290|291	MAP8	results/open_structure_007/tier1_shallow/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_011.pdb	completed	67.31599426269531	0.75	0.0	0.25	1.0
A89_2C_289_290_G196_minimal	289|290	G196_minimal	results/open_structure_007/deep_subset/A89_2C_289_290_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	completed	138.58987426757812	0.25	0.375	0.375	0.8
A89_2C_289_290_G196_minimal	289|290	G196_minimal	results/open_structure_007/deep_subset/A89_2C_289_290_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	completed	139.30123901367188	0.25	0.375	0.375	0.8
A89_2C_289_290_MAP8	289|290	MAP8	results/open_structure_007/deep_subset/A89_2C_289_290_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	completed	108.46527099609375	0.25	0.375	0.375	0.875
A89_2C_289_290_MAP8	289|290	MAP8	results/open_structure_007/deep_subset/A89_2C_289_290_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	completed	107.27061462402344	0.25	0.375	0.375	0.875
A89_2C_290_291_G196_minimal	290|291	G196_minimal	results/open_structure_007/deep_subset/A89_2C_290_291_G196_minimal_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	completed	147.06813049316406	0.75	0.0	0.25	1.0
A89_2C_290_291_G196_minimal	290|291	G196_minimal	results/open_structure_007/deep_subset/A89_2C_290_291_G196_minimal_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	completed	144.23165893554688	0.75	0.0	0.25	1.0
A89_2C_290_291_MAP8	290|291	MAP8	results/open_structure_007/deep_subset/A89_2C_290_291_MAP8_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_022.pdb	completed	84.13847351074219	0.75	0.0	0.25	1.0
A89_2C_290_291_MAP8	290|291	MAP8	results/open_structure_007/deep_subset/A89_2C_290_291_MAP8_unrelaxed_rank_002_alphafold2_ptm_model_1_seed_021.pdb	completed	78.24032592773438	0.75	0.0	0.25	1.0
