sequence_id	accession	source_database	organism	taxonomy_id	type_label	entry_type	polyprotein_length	sequence_length	boundary_start	boundary_end	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	unknown_fraction	completeness	retain	retain_reason	exclude_reason	retrieval_date
B9V4A5|A89|a89_local_alignment_provisional	B9V4A5	UniProtKB	Human rhinovirus 89	12132	A89	UniProtKB unreviewed (TrEMBL)	2164	321	1104	1424	a89_local_alignment_provisional	provisional	1.0000	0.9969	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V4B0|A34|a89_local_alignment_provisional	B9V4B0	UniProtKB	rhinovirus A34	185905	A34	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
F6M9Y9|ambiguous|a89_local_alignment_provisional	F6M9Y9	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2149	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G5CZJ6|ambiguous|a89_local_alignment_provisional	G5CZJ6	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G5CZJ7|ambiguous|a89_local_alignment_provisional	G5CZJ7	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2167	321	1106	1426	a89_local_alignment_provisional	provisional	1.0000	0.6572	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G5DC73|ambiguous|a89_local_alignment_provisional	G5DC73	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2054	322	1087	1408	a89_local_alignment_provisional	provisional	1.0000	0.7196	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJE8|ambiguous|a89_local_alignment_provisional	G8IJE8	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2105	322	1092	1413	a89_local_alignment_provisional	provisional	1.0000	0.5938	0.2143	excluded	False		unknown_fraction_gt_0.05;ambiguous_type_label	2026-08-21
G8IJF6|ambiguous|a89_local_alignment_provisional	G8IJF6	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2082	321	1105	1425	a89_local_alignment_provisional	provisional	1.0000	0.6572	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJG5|ambiguous|a89_local_alignment_provisional	G8IJG5	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2018	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.6667	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJH2|ambiguous|a89_local_alignment_provisional	G8IJH2	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2150	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.6604	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IQ63|ambiguous|a89_local_alignment_provisional	G8IQ63	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2089	323	1095	1417	a89_local_alignment_provisional	provisional	1.0000	0.7438	0.0124	excluded	False		ambiguous_type_label	2026-08-21
G8IQ72|ambiguous|a89_local_alignment_provisional	G8IQ72	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2090	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IRN7|ambiguous|a89_local_alignment_provisional	G8IRN7	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IRP0|ambiguous|a89_local_alignment_provisional	G8IRP0	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2156	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7438	0.0000	excluded	False		ambiguous_type_label	2026-08-21
H9C6N2|ambiguous|a89_local_alignment_provisional	H9C6N2	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2061	321	1104	1424	a89_local_alignment_provisional	provisional	1.0000	0.6572	0.0000	excluded	False		ambiguous_type_label	2026-08-21
H9EHM5|ambiguous|a89_local_alignment_provisional	H9EHM5	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2158	321	1106	1426	a89_local_alignment_provisional	provisional	1.0000	0.6583	0.0000	excluded	False		ambiguous_type_label	2026-08-21
H9X8C6|ambiguous|a89_local_alignment_provisional	H9X8C6	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2159	321	1104	1424	a89_local_alignment_provisional	provisional	1.0000	0.9907	0.0000	excluded	False		ambiguous_type_label	2026-08-21
A5GZF2|A7|a89_local_alignment_provisional	A5GZF2	UniProtKB	rhinovirus A7	44136	A7	UniProtKB unreviewed (TrEMBL)	2162	321	1102	1422	a89_local_alignment_provisional	provisional	1.0000	0.9315	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF9|A75|a89_local_alignment_provisional	A5GZF9	UniProtKB	rhinovirus A75	185930	A75	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZG1|A30|a89_local_alignment_provisional	A5GZG1	UniProtKB	rhinovirus A30	185901	A30	UniProtKB unreviewed (TrEMBL)	2149	322	1087	1408	a89_local_alignment_provisional	provisional	1.0000	0.7134	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC08|A24|a89_local_alignment_provisional	A7KC08	UniProtKB	rhinovirus A24	185897	A24	UniProtKB unreviewed (TrEMBL)	2154	322	1092	1413	a89_local_alignment_provisional	provisional	1.0000	0.7531	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC11|A94|a89_local_alignment_provisional	A7KC11	UniProtKB	rhinovirus A94	185941	A94	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7570	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V436|A9|a89_local_alignment_provisional	B9V436	UniProtKB	rhinovirus A9	185891	A9	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7469	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V437|A13|a89_local_alignment_provisional	B9V437	UniProtKB	rhinovirus A13	185893	A13	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7414	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V444|A25|a89_local_alignment_provisional	B9V444	UniProtKB	rhinovirus A25	185898	A25	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V446|A29|a89_local_alignment_provisional	B9V446	UniProtKB	rhinovirus A29	44129	A29	UniProtKB unreviewed (TrEMBL)	2154	322	1092	1413	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V447|A31|a89_local_alignment_provisional	B9V447	UniProtKB	rhinovirus A31	185902	A31	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7321	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V455|A49|a89_local_alignment_provisional	B9V455	UniProtKB	rhinovirus A49	44131	A49	UniProtKB unreviewed (TrEMBL)	2150	322	1088	1409	a89_local_alignment_provisional	provisional	1.0000	0.7134	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V456|A50|a89_local_alignment_provisional	B9V456	UniProtKB	rhinovirus A50	44132	A50	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0062	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V463|A58|a89_local_alignment_provisional	B9V463	UniProtKB	rhinovirus A58	44133	A58	UniProtKB unreviewed (TrEMBL)	2160	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.9377	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V465|A61|a89_local_alignment_provisional	B9V465	UniProtKB	rhinovirus A61	185920	A61	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V470|A67|a89_local_alignment_provisional	B9V470	UniProtKB	rhinovirus A67	185924	A67	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7414	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V480|A81|a89_local_alignment_provisional	B9V480	UniProtKB	Rhinovirus A81	185935	A81	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7601	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V481|A82|a89_local_alignment_provisional	B9V481	UniProtKB	rhinovirus A82	167322	A82	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V486|A89|a89_local_alignment_provisional	B9V486	UniProtKB	Human rhinovirus 89	12132	A89	UniProtKB unreviewed (TrEMBL)	2164	321	1104	1424	a89_local_alignment_provisional	provisional	1.0000	0.9907	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V492|A96|a89_local_alignment_provisional	B9V492	UniProtKB	rhinovirus A96	185943	A96	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V494|A98|a89_local_alignment_provisional	B9V494	UniProtKB	rhinovirus A98	185944	A98	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V497|A7|a89_local_alignment_provisional	B9V497	UniProtKB	rhinovirus A7	44136	A7	UniProtKB unreviewed (TrEMBL)	2162	321	1102	1422	a89_local_alignment_provisional	provisional	1.0000	0.9315	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V498|A9|a89_local_alignment_provisional	B9V498	UniProtKB	rhinovirus A9	185891	A9	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7531	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V4A3|A76|a89_local_alignment_provisional	B9V4A3	UniProtKB	rhinovirus A76	185931	A76	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7500	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V4A6|A94|a89_local_alignment_provisional	B9V4A6	UniProtKB	rhinovirus A94	185941	A94	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7539	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
C7DUC8|ambiguous|a89_local_alignment_provisional	C7DUC8	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7196	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G5CZJ5|ambiguous|a89_local_alignment_provisional	G5CZJ5	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2105	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G5DBU4|ambiguous|a89_local_alignment_provisional	G5DBU4	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2144	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.9595	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G5DC70|ambiguous|a89_local_alignment_provisional	G5DC70	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2150	322	1088	1409	a89_local_alignment_provisional	provisional	1.0000	0.7165	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJE3|ambiguous|a89_local_alignment_provisional	G8IJE3	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2052	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7477	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJG2|ambiguous|a89_local_alignment_provisional	G8IJG2	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2077	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.6667	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJG7|ambiguous|a89_local_alignment_provisional	G8IJG7	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2106	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7259	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJG9|ambiguous|a89_local_alignment_provisional	G8IJG9	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2144	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.9283	0.0312	excluded	False		ambiguous_type_label	2026-08-21
G8IJH0|ambiguous|a89_local_alignment_provisional	G8IJH0	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2025	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IJH1|ambiguous|a89_local_alignment_provisional	G8IJH1	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2148	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.6489	0.0156	excluded	False		ambiguous_type_label	2026-08-21
G8IJH4|ambiguous|a89_local_alignment_provisional	G8IJH4	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2150	322	1088	1409	a89_local_alignment_provisional	provisional	1.0000	0.7134	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IQ71|ambiguous|a89_local_alignment_provisional	G8IQ71	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2144	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.9564	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IQ80|ambiguous|a89_local_alignment_provisional	G8IQ80	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2103	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7445	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G8IRP4|ambiguous|a89_local_alignment_provisional	G8IRP4	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2161	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.9595	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G9K138|ambiguous|a89_local_alignment_provisional	G9K138	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2042	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7009	0.0528	excluded	False		unknown_fraction_gt_0.05;ambiguous_type_label	2026-08-21
H9C6N1|ambiguous|a89_local_alignment_provisional	H9C6N1	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2151	321	1096	1416	a89_local_alignment_provisional	provisional	1.0000	0.6289	0.0903	excluded	False		unknown_fraction_gt_0.05;ambiguous_type_label	2026-08-21
H9X8C8|ambiguous|a89_local_alignment_provisional	H9X8C8	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2151	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	excluded	False		ambiguous_type_label	2026-08-21
H9X8D4|ambiguous|a89_local_alignment_provisional	H9X8D4	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2153	222	1195	1416	a89_local_alignment_provisional	provisional	0.6885	0.7330	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
I3UJS2|ambiguous|a89_local_alignment_provisional	I3UJS2	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2110	322	1057	1378	a89_local_alignment_provisional	provisional	1.0000	0.7500	0.0000	excluded	False		ambiguous_type_label	2026-08-21
I3UJS4|ambiguous|a89_local_alignment_provisional	I3UJS4	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	1964	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7531	0.0000	excluded	False		ambiguous_type_label	2026-08-21
I3UJS6|ambiguous|a89_local_alignment_provisional	I3UJS6	UniProtKB	Rhinovirus A	147711	ambiguous	UniProtKB unreviewed (TrEMBL)	2158	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7165	0.0000	excluded	False		ambiguous_type_label	2026-08-21
A0A1L1YP60|A21|a89_local_alignment_provisional	A0A1L1YP60	UniProtKB	rhinovirus A21	44128	A21	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A1L6C8J2|A16|a89_local_alignment_provisional	A0A1L6C8J2	UniProtKB	Human rhinovirus 16	31708	A16	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7508	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE0|A41|a89_local_alignment_provisional	A5GZE0	UniProtKB	rhinovirus A41	185909	A41	UniProtKB unreviewed (TrEMBL)	2161	322	1099	1420	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE2|A15|a89_local_alignment_provisional	A5GZE2	UniProtKB	rhinovirus A15	185894	A15	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7321	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE3|A74|a89_local_alignment_provisional	A5GZE3	UniProtKB	rhinovirus A74	185929	A74	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7445	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE4|A38|a89_local_alignment_provisional	A5GZE4	UniProtKB	rhinovirus A38	185906	A38	UniProtKB unreviewed (TrEMBL)	2159	322	1097	1418	a89_local_alignment_provisional	provisional	1.0000	0.7352	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE7|A10|a89_local_alignment_provisional	A5GZE7	UniProtKB	rhinovirus A10	185892	A10	UniProtKB unreviewed (TrEMBL)	2160	322	1098	1419	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZE9|A59|a89_local_alignment_provisional	A5GZE9	UniProtKB	rhinovirus A59	185918	A59	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7250	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF3|A88|a89_local_alignment_provisional	A5GZF3	UniProtKB	rhinovirus A88	185939	A88	UniProtKB unreviewed (TrEMBL)	2160	321	1100	1420	a89_local_alignment_provisional	provisional	1.0000	0.9439	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZF6|A53|a89_local_alignment_provisional	A5GZF6	UniProtKB	rhinovirus A53	185913	A53	UniProtKB unreviewed (TrEMBL)	2162	321	1101	1421	a89_local_alignment_provisional	provisional	1.0000	0.6572	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A5GZG0|A55|a89_local_alignment_provisional	A5GZG0	UniProtKB	rhinovirus A55	185915	A55	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7290	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A7KC09|A64|a89_local_alignment_provisional	A7KC09	UniProtKB	rhinovirus A64	185922	A64	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7539	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V440|A19|a89_local_alignment_provisional	B9V440	UniProtKB	rhinovirus A19	185895	A19	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7383	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V449|A33|a89_local_alignment_provisional	B9V449	UniProtKB	rhinovirus A33	185904	A33	UniProtKB unreviewed (TrEMBL)	2155	322	1093	1414	a89_local_alignment_provisional	provisional	1.0000	0.7562	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V452|A43|a89_local_alignment_provisional	B9V452	UniProtKB	rhinovirus A43	167321	A43	UniProtKB unreviewed (TrEMBL)	2158	322	1096	1417	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V462|A57|a89_local_alignment_provisional	B9V462	UniProtKB	rhinovirus A57	185917	A57	UniProtKB unreviewed (TrEMBL)	2157	322	1095	1416	a89_local_alignment_provisional	provisional	1.0000	0.7414	0.0031	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V466|A62|a89_local_alignment_provisional	B9V466	UniProtKB	rhinovirus A62	44134	A62	UniProtKB unreviewed (TrEMBL)	2156	322	1094	1415	a89_local_alignment_provisional	provisional	1.0000	0.7227	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V478|A81|a89_local_alignment_provisional	B9V478	UniProtKB	Rhinovirus A81	185935	A81	UniProtKB unreviewed (TrEMBL)	2153	322	1091	1412	a89_local_alignment_provisional	provisional	1.0000	0.7601	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
B9V4A0|A30|a89_local_alignment_provisional	B9V4A0	UniProtKB	rhinovirus A30	185901	A30	UniProtKB unreviewed (TrEMBL)	2149	322	1087	1408	a89_local_alignment_provisional	provisional	1.0000	0.7134	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
