sequence_id	type_label	source_database	source_accession	organism	sequence_length	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	inferred_start	inferred_end	retain_reason	provenance_note
VMR_D00239|A1B|a89_local_alignment_provisional	A1B	ICTV_VMR+NCBI_GenBank	D00239	rhinovirus A1B	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7414	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_X02316|A2|a89_local_alignment_provisional	A2	ICTV_VMR+NCBI_GenBank	X02316	rhinovirus A2	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7259	1088	1409	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445120|A20|a89_local_alignment_provisional	A20	ICTV_VMR+NCBI_GenBank	FJ445120	rhinovirus A20	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6698	1105	1425	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445121|A21|a89_local_alignment_provisional	A21	ICTV_VMR+NCBI_GenBank	FJ445121	rhinovirus A21	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7414	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445122|A22|a89_local_alignment_provisional	A22	ICTV_VMR+NCBI_GenBank	FJ445122	rhinovirus A22	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7570	1094	1415	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473497|A23|a89_local_alignment_provisional	A23	ICTV_VMR+NCBI_GenBank	DQ473497	rhinovirus A23	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7196	1087	1408	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_EF173416|A24|a89_local_alignment_provisional	A24	ICTV_VMR+NCBI_GenBank	EF173416	rhinovirus A24	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7531	1092	1413	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445123|A25|a89_local_alignment_provisional	A25	ICTV_VMR+NCBI_GenBank	FJ445123	rhinovirus A25	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7259	1093	1414	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473508|A28|a89_local_alignment_provisional	A28	ICTV_VMR+NCBI_GenBank	DQ473508	rhinovirus A28	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6792	1100	1420	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445125|A29|a89_local_alignment_provisional	A29	ICTV_VMR+NCBI_GenBank	FJ445125	rhinovirus A29	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7259	1092	1413	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473512|A30|a89_local_alignment_provisional	A30	ICTV_VMR+NCBI_GenBank	DQ473512	rhinovirus A30	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7134	1087	1408	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445126|A31|a89_local_alignment_provisional	A31	ICTV_VMR+NCBI_GenBank	FJ445126	rhinovirus A31	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7321	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445127|A32|a89_local_alignment_provisional	A32	ICTV_VMR+NCBI_GenBank	FJ445127	rhinovirus A32	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7445	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445128|A33|a89_local_alignment_provisional	A33	ICTV_VMR+NCBI_GenBank	FJ445128	rhinovirus A33	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7562	1093	1414	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473501|A34|a89_local_alignment_provisional	A34	ICTV_VMR+NCBI_GenBank	DQ473501	rhinovirus A34	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7290	1091	1412	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473505|A36|a89_local_alignment_provisional	A36	ICTV_VMR+NCBI_GenBank	DQ473505	rhinovirus A36	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.9626	1101	1421	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473495|A38|a89_local_alignment_provisional	A38	ICTV_VMR+NCBI_GenBank	DQ473495	rhinovirus A38	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7352	1097	1418	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_AY751783|A39|a89_local_alignment_provisional	A39	ICTV_VMR+NCBI_GenBank	AY751783	rhinovirus A39	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7227	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445129|A40|a89_local_alignment_provisional	A40	ICTV_VMR+NCBI_GenBank	FJ445129	rhinovirus A40	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7259	1097	1418	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473491|A41|a89_local_alignment_provisional	A41	ICTV_VMR+NCBI_GenBank	DQ473491	rhinovirus A41	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7383	1099	1420	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445131|A43|a89_local_alignment_provisional	A43	ICTV_VMR+NCBI_GenBank	FJ445131	rhinovirus A43	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7227	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445132|A45|a89_local_alignment_provisional	A45	ICTV_VMR+NCBI_GenBank	FJ445132	rhinovirus A45	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.5607	1091	1411	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473506|A46|a89_local_alignment_provisional	A46	ICTV_VMR+NCBI_GenBank	DQ473506	rhinovirus A46	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6667	1103	1423	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445133|A47|a89_local_alignment_provisional	A47	ICTV_VMR+NCBI_GenBank	FJ445133	rhinovirus A47	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7290	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473496|A49|a89_local_alignment_provisional	A49	ICTV_VMR+NCBI_GenBank	DQ473496	rhinovirus A49	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7040	1088	1409	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445135|A50|a89_local_alignment_provisional	A50	ICTV_VMR+NCBI_GenBank	FJ445135	rhinovirus A50	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7290	1091	1412	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445136|A51|a89_local_alignment_provisional	A51	ICTV_VMR+NCBI_GenBank	FJ445136	rhinovirus A51	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6698	1104	1424	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473507|A53|a89_local_alignment_provisional	A53	ICTV_VMR+NCBI_GenBank	DQ473507	rhinovirus A53	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6572	1101	1421	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445138|A54|a89_local_alignment_provisional	A54	ICTV_VMR+NCBI_GenBank	FJ445138	rhinovirus A54	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473511|A55|a89_local_alignment_provisional	A55	ICTV_VMR+NCBI_GenBank	DQ473511	rhinovirus A55	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7290	1093	1414	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445140|A56|a89_local_alignment_provisional	A56	ICTV_VMR+NCBI_GenBank	FJ445140	rhinovirus A56	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445141|A57|a89_local_alignment_provisional	A57	ICTV_VMR+NCBI_GenBank	FJ445141	rhinovirus A57	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7414	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445142|A58|a89_local_alignment_provisional	A58	ICTV_VMR+NCBI_GenBank	FJ445142	rhinovirus A58	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.9377	1100	1420	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473500|A59|a89_local_alignment_provisional	A59	ICTV_VMR+NCBI_GenBank	DQ473500	rhinovirus A59	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7250	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445143|A60|a89_local_alignment_provisional	A60	ICTV_VMR+NCBI_GenBank	FJ445143	rhinovirus A60	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7383	1097	1418	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445144|A61|a89_local_alignment_provisional	A61	ICTV_VMR+NCBI_GenBank	FJ445144	rhinovirus A61	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7227	1098	1419	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445145|A62|a89_local_alignment_provisional	A62	ICTV_VMR+NCBI_GenBank	FJ445145	rhinovirus A62	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7227	1094	1415	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445146|A63|a89_local_alignment_provisional	A63	ICTV_VMR+NCBI_GenBank	FJ445146	rhinovirus A63	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7227	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_EF173417|A64|a89_local_alignment_provisional	A64	ICTV_VMR+NCBI_GenBank	EF173417	rhinovirus A64	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7539	1094	1415	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445147|A65|a89_local_alignment_provisional	A65	ICTV_VMR+NCBI_GenBank	FJ445147	rhinovirus A65	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6635	1104	1424	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445148|A66|a89_local_alignment_provisional	A66	ICTV_VMR+NCBI_GenBank	FJ445148	rhinovirus A66	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445149|A67|a89_local_alignment_provisional	A67	ICTV_VMR+NCBI_GenBank	FJ445149	rhinovirus A67	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7414	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445150|A68|a89_local_alignment_provisional	A68	ICTV_VMR+NCBI_GenBank	FJ445150	rhinovirus A68	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6572	1105	1425	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473503|A7|a89_local_alignment_provisional	A7	ICTV_VMR+NCBI_GenBank	DQ473503	rhinovirus A7	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.9315	1102	1422	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445152|A71|a89_local_alignment_provisional	A71	ICTV_VMR+NCBI_GenBank	FJ445152	rhinovirus A71	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6792	1103	1423	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473492|A73|a89_local_alignment_provisional	A73	ICTV_VMR+NCBI_GenBank	DQ473492	rhinovirus A73	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7383	1098	1419	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473494|A74|a89_local_alignment_provisional	A74	ICTV_VMR+NCBI_GenBank	DQ473494	rhinovirus A74	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7445	1094	1415	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473510|A75|a89_local_alignment_provisional	A75	ICTV_VMR+NCBI_GenBank	DQ473510	rhinovirus A75	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7290	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473502|A76|a89_local_alignment_provisional	A76	ICTV_VMR+NCBI_GenBank	DQ473502	rhinovirus A76	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7469	1093	1414	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445154|A77|a89_local_alignment_provisional	A77	ICTV_VMR+NCBI_GenBank	FJ445154	rhinovirus A77	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7196	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_EF173418|A78|a89_local_alignment_provisional	A78	ICTV_VMR+NCBI_GenBank	EF173418	rhinovirus A78	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6906	1097	1418	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445113|A8|a89_local_alignment_provisional	A8	ICTV_VMR+NCBI_GenBank	FJ445113	rhinovirus A8	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.5919	1093	1413	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445156|A80|a89_local_alignment_provisional	A80	ICTV_VMR+NCBI_GenBank	FJ445156	rhinovirus A80	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.6500	1100	1420	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445157|A81|a89_local_alignment_provisional	A81	ICTV_VMR+NCBI_GenBank	FJ445157	rhinovirus A81	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7601	1091	1412	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473509|A82|a89_local_alignment_provisional	A82	ICTV_VMR+NCBI_GenBank	DQ473509	rhinovirus A82	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7414	1093	1414	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445163|A85|a89_local_alignment_provisional	A85	ICTV_VMR+NCBI_GenBank	FJ445163	rhinovirus A85	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7259	1097	1418	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_DQ473504|A88|a89_local_alignment_provisional	A88	ICTV_VMR+NCBI_GenBank	DQ473504	rhinovirus A88	321	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.9439	1100	1420	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
A89_REF|A89|repository_authoritative	A89	project_or_UniProtKB	M16248	rhinovirus A89	321	repository_authoritative_2C	authoritative	1.0000	1.0000	1	321	ictv_type_balanced_v2	project A89 reference used as coordinate anchor
VMR_FJ445177|A9|a89_local_alignment_provisional	A9	ICTV_VMR+NCBI_GenBank	FJ445177	rhinovirus A9	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7531	1096	1417	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445167|A90|a89_local_alignment_provisional	A90	ICTV_VMR+NCBI_GenBank	FJ445167	rhinovirus A90	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7250	1091	1412	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_EF173419|A94|a89_local_alignment_provisional	A94	ICTV_VMR+NCBI_GenBank	EF173419	rhinovirus A94	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7570	1094	1415	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
VMR_FJ445171|A96|a89_local_alignment_provisional	A96	ICTV_VMR+NCBI_GenBank	FJ445171	rhinovirus A96	322	vmr_genbank_polyprotein_a89_local_alignment_provisional	provisional	1.0000	0.7383	1095	1416	ictv_type_balanced_v2	VMR GenBank accession polyprotein extracted by A89 local alignment
P07210|A89|uniprot_chain_exact	A89	UniProtKB	P07210	Human rhinovirus A serotype 89 (strain 41467-Gallo)	321	uniprot_chain_exact	high	1.0	1.0	1104	1424	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
P12916|A1B|uniprot_chain_exact	A1B	UniProtKB	P12916	Human rhinovirus 1B	322	uniprot_chain_exact	high	1.0	1.0	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
P23008|A1|uniprot_chain_exact	A1	UniProtKB	P23008	Human rhinovirus 1A	322	uniprot_chain_exact	high	1.0	1.0	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
Q82122|A16|uniprot_chain_exact	A16	UniProtKB	Q82122	Human rhinovirus 16	322	uniprot_chain_exact	high	1.0	1.0	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
P04936|A2|uniprot_chain_exact	A2	UniProtKB	P04936	Human rhinovirus 2	322	uniprot_chain_exact	high	1.0	1.0	1088	1409	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A0G2T687|A39|a89_local_alignment_provisional	A39	UniProtKB	A0A0G2T687	rhinovirus A39	322	a89_local_alignment_provisional	provisional	1.0000	0.7227	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A0A1L1YP61|A21|a89_local_alignment_provisional	A21	UniProtKB	A0A1L1YP61	rhinovirus A21	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1095	1416	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZE1|A73|a89_local_alignment_provisional	A73	UniProtKB	A5GZE1	rhinovirus A73	322	a89_local_alignment_provisional	provisional	1.0000	0.7383	1098	1419	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF4|A36|a89_local_alignment_provisional	A36	UniProtKB	A5GZF4	rhinovirus A36	321	a89_local_alignment_provisional	provisional	1.0000	0.9626	1101	1421	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V435|A9|a89_local_alignment_provisional	A9	UniProtKB	B9V435	rhinovirus A9	322	a89_local_alignment_provisional	provisional	1.0000	0.7469	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V438|A13|a89_local_alignment_provisional	A13	UniProtKB	B9V438	rhinovirus A13	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1098	1419	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V441|A20|a89_local_alignment_provisional	A20	UniProtKB	B9V441	rhinovirus A20	321	a89_local_alignment_provisional	provisional	1.0000	0.6698	1105	1425	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V459|A54|a89_local_alignment_provisional	A54	UniProtKB	B9V459	rhinovirus A54	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V469|A66|a89_local_alignment_provisional	A66	UniProtKB	B9V469	rhinovirus A66	322	a89_local_alignment_provisional	provisional	1.0000	0.7352	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4A5|A89|a89_local_alignment_provisional	A89	UniProtKB	B9V4A5	Human rhinovirus 89	321	a89_local_alignment_provisional	provisional	1.0000	0.9969	1104	1424	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
B9V4B0|A34|a89_local_alignment_provisional	A34	UniProtKB	B9V4B0	rhinovirus A34	322	a89_local_alignment_provisional	provisional	1.0000	0.7290	1091	1412	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF2|A7|a89_local_alignment_provisional	A7	UniProtKB	A5GZF2	rhinovirus A7	321	a89_local_alignment_provisional	provisional	1.0000	0.9315	1102	1422	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZF9|A75|a89_local_alignment_provisional	A75	UniProtKB	A5GZF9	rhinovirus A75	322	a89_local_alignment_provisional	provisional	1.0000	0.7290	1096	1417	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A5GZG1|A30|a89_local_alignment_provisional	A30	UniProtKB	A5GZG1	rhinovirus A30	322	a89_local_alignment_provisional	provisional	1.0000	0.7134	1087	1408	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
A7KC08|A24|a89_local_alignment_provisional	A24	UniProtKB	A7KC08	rhinovirus A24	322	a89_local_alignment_provisional	provisional	1.0000	0.7531	1092	1413	expanded_v2_reconciled_retained_v1	V1 retained official-mapped sequence
