sequence_id	accession	source_database	organism	taxonomy_id	type_label	entry_type	polyprotein_length	sequence_length	boundary_start	boundary_end	extraction_method	boundary_confidence	alignment_ref_coverage	alignment_identity	unknown_fraction	completeness	retain	retain_reason	exclude_reason	retrieval_date
G8IRN2|ambiguous|a89_local_alignment_provisional	G8IRN2	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2094	292	1084	1375	a89_local_alignment_provisional	provisional	0.8941	0.5544	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
I2CMJ1|ambiguous|a89_local_alignment_provisional	I2CMJ1	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2097	284	1076	1359	a89_local_alignment_provisional	provisional	0.8723	0.5376	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
I6QFL7|ambiguous|a89_local_alignment_provisional	I6QFL7	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2142	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5357	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
U6BN37|C50|a89_local_alignment_provisional	U6BN37	UniProtKB	rhinovirus C50	2777135	C50	UniProtKB unreviewed (TrEMBL)	2148	323	1086	1408	a89_local_alignment_provisional	provisional	0.9907	0.4921	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A0B5HPB2|C54|a89_local_alignment_provisional	A0A0B5HPB2	UniProtKB	rhinovirus C54	1604833	C54	UniProtKB unreviewed (TrEMBL)	2148	325	1084	1408	a89_local_alignment_provisional	provisional	0.9969	0.4906	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
A0A0K0LQA1|ambiguous|a89_local_alignment_provisional	A0A0K0LQA1	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2104	293	1091	1383	a89_local_alignment_provisional	provisional	0.8972	0.5122	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IQ65|ambiguous|a89_local_alignment_provisional	G8IQ65	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2130	290	1084	1373	a89_local_alignment_provisional	provisional	0.8879	0.5355	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IRN3|ambiguous|a89_local_alignment_provisional	G8IRN3	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2149	325	1085	1409	a89_local_alignment_provisional	provisional	0.9969	0.4844	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G9K139|ambiguous|a89_local_alignment_provisional	G9K139	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2130	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5393	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A0U1Z254|ambiguous|a89_local_alignment_provisional	A0A0U1Z254	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2140	285	1075	1359	a89_local_alignment_provisional	provisional	0.8754	0.5357	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A0U1Z270|ambiguous|a89_local_alignment_provisional	A0A0U1Z270	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2152	293	1088	1380	a89_local_alignment_provisional	provisional	0.8972	0.5122	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A172GFP5|ambiguous|a89_local_alignment_provisional	A0A172GFP5	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2139	284	1075	1358	a89_local_alignment_provisional	provisional	0.8723	0.5269	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A1V0PLJ9|ambiguous|a89_local_alignment_provisional	A0A1V0PLJ9	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2142	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5448	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A2C9PHT8|ambiguous|a89_local_alignment_provisional	A0A2C9PHT8	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2148	292	1083	1374	a89_local_alignment_provisional	provisional	0.8941	0.5385	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A4UHT9|C3|a89_local_alignment_provisional	A4UHT9	UniProtKB	rhinovirus C3	1219377	C3	UniProtKB unreviewed (TrEMBL)	2143	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5393	0.0000	excluded	False		weak_A89_alignment	2026-08-21
F6MZI6|ambiguous|a89_local_alignment_provisional	F6MZI6	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2144	286	1080	1365	a89_local_alignment_provisional	provisional	0.8754	0.5556	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G0ZNT7|ambiguous|a89_local_alignment_provisional	G0ZNT7	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2155	293	1091	1383	a89_local_alignment_provisional	provisional	0.8972	0.5087	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJF0|ambiguous|a89_local_alignment_provisional	G8IJF0	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2053	325	1084	1408	a89_local_alignment_provisional	provisional	0.9969	0.5078	0.0000	excluded	False		ambiguous_type_label	2026-08-21
H8Y6P9|C35|a89_local_alignment_provisional	H8Y6P9	UniProtKB	rhinovirus C35	1077430	C35	UniProtKB unreviewed (TrEMBL)	2138	287	1077	1363	a89_local_alignment_provisional	provisional	0.8785	0.5338	0.0000	excluded	False		weak_A89_alignment	2026-08-21
H9C6N9|ambiguous|a89_local_alignment_provisional	H9C6N9	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	1979	291	1084	1374	a89_local_alignment_provisional	provisional	0.8910	0.5263	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
I2CMI9|ambiguous|a89_local_alignment_provisional	I2CMI9	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2054	293	1088	1380	a89_local_alignment_provisional	provisional	0.8972	0.5210	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
C5HDF8|C11|a89_local_alignment_provisional	C5HDF8	UniProtKB	rhinovirus C11	1240004	C11	UniProtKB unreviewed (TrEMBL)	2149	326	1084	1409	a89_local_alignment_provisional	provisional	1.0000	0.5140	0.0000	complete_2C	True	traceable_2C_sequence		2026-08-21
C7DUC6|C8|a89_local_alignment_provisional	C7DUC6	UniProtKB	rhinovirus C8	1219380	C8	UniProtKB unreviewed (TrEMBL)	2148	291	1084	1374	a89_local_alignment_provisional	provisional	0.8910	0.5263	0.0000	excluded	False		weak_A89_alignment	2026-08-21
C9DDK2|C10|a89_local_alignment_provisional	C9DDK2	UniProtKB	rhinovirus C10	1219419	C10	UniProtKB unreviewed (TrEMBL)	2140	284	1076	1359	a89_local_alignment_provisional	provisional	0.8723	0.5448	0.0000	excluded	False		length_outside_285_360;weak_A89_alignment	2026-08-21
E9LS20|ambiguous|a89_local_alignment_provisional	E9LS20	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2149	292	1084	1375	a89_local_alignment_provisional	provisional	0.8941	0.5368	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJE4|ambiguous|a89_local_alignment_provisional	G8IJE4	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2091	284	1075	1358	a89_local_alignment_provisional	provisional	0.8723	0.5376	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJF2|ambiguous|a89_local_alignment_provisional	G8IJF2	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2143	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5393	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJF5|ambiguous|a89_local_alignment_provisional	G8IJF5	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2059	284	1075	1358	a89_local_alignment_provisional	provisional	0.8723	0.5412	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
G9K141|ambiguous|a89_local_alignment_provisional	G9K141	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2142	284	1078	1361	a89_local_alignment_provisional	provisional	0.8723	0.5504	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
H9C6N0|ambiguous|a89_local_alignment_provisional	H9C6N0	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2066	291	1084	1374	a89_local_alignment_provisional	provisional	0.8910	0.5263	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
H9X8D0|ambiguous|a89_local_alignment_provisional	H9X8D0	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2108	290	1045	1334	a89_local_alignment_provisional	provisional	0.8879	0.5319	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
W8GPM9|ambiguous|a89_local_alignment_provisional	W8GPM9	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2148	325	1084	1408	a89_local_alignment_provisional	provisional	0.9969	0.5078	0.0000	excluded	False		ambiguous_type_label	2026-08-21
A0A0A7AB86|ambiguous|a89_local_alignment_provisional	A0A0A7AB86	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2142	284	1078	1361	a89_local_alignment_provisional	provisional	0.8723	0.5321	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A0U1YYL5|ambiguous|a89_local_alignment_provisional	A0A0U1YYL5	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2152	292	1087	1378	a89_local_alignment_provisional	provisional	0.8941	0.5455	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A0A219Y1F5|ambiguous|a89_local_alignment_provisional	A0A219Y1F5	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2153	292	1088	1379	a89_local_alignment_provisional	provisional	0.8941	0.5509	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
A0MHB7|C7|a89_local_alignment_provisional	A0MHB7	UniProtKB	rhinovirus C7	1219379	C7	UniProtKB unreviewed (TrEMBL)	2139	284	1075	1358	a89_local_alignment_provisional	provisional	0.8723	0.5341	0.0000	excluded	False		length_outside_285_360;weak_A89_alignment	2026-08-21
A7TUB1|C1|a89_local_alignment_provisional	A7TUB1	UniProtKB	rhinovirus C1	1219416	C1	UniProtKB unreviewed (TrEMBL)	2142	284	1078	1361	a89_local_alignment_provisional	provisional	0.8723	0.5269	0.0000	excluded	False		length_outside_285_360;weak_A89_alignment	2026-08-21
A8S334|C6|a89_local_alignment_provisional	A8S334	UniProtKB	rhinovirus C6	1219378	C6	UniProtKB unreviewed (TrEMBL)	2142	284	1078	1361	a89_local_alignment_provisional	provisional	0.8723	0.5504	0.0000	excluded	False		length_outside_285_360;weak_A89_alignment	2026-08-21
C7DUC7|C9|a89_local_alignment_provisional	C7DUC7	UniProtKB	rhinovirus C9	1220265	C9	UniProtKB unreviewed (TrEMBL)	2143	291	1079	1369	a89_local_alignment_provisional	provisional	0.8910	0.4947	0.0000	excluded	False		weak_A89_alignment	2026-08-21
E9LS23|ambiguous|a89_local_alignment_provisional	E9LS23	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2142	284	1078	1361	a89_local_alignment_provisional	provisional	0.8723	0.5269	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
G5CZJ4|ambiguous|a89_local_alignment_provisional	G5CZJ4	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2140	325	1080	1404	a89_local_alignment_provisional	provisional	0.9969	0.4953	0.0000	excluded	False		ambiguous_type_label	2026-08-21
G5DC71|ambiguous|a89_local_alignment_provisional	G5DC71	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2121	285	1075	1359	a89_local_alignment_provisional	provisional	0.8754	0.5393	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJF3|ambiguous|a89_local_alignment_provisional	G8IJF3	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2073	286	1080	1365	a89_local_alignment_provisional	provisional	0.8754	0.5556	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IJG6|ambiguous|a89_local_alignment_provisional	G8IJG6	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2128	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5448	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IQ70|ambiguous|a89_local_alignment_provisional	G8IQ70	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2119	284	1079	1362	a89_local_alignment_provisional	provisional	0.8723	0.5504	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IRN5|ambiguous|a89_local_alignment_provisional	G8IRN5	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2150	292	1085	1376	a89_local_alignment_provisional	provisional	0.8941	0.5509	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
G8IRN6|ambiguous|a89_local_alignment_provisional	G8IRN6	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2136	284	1075	1358	a89_local_alignment_provisional	provisional	0.8723	0.5376	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
I2CMI4|ambiguous|a89_local_alignment_provisional	I2CMI4	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	1970	284	1075	1358	a89_local_alignment_provisional	provisional	0.8723	0.5412	0.0000	excluded	False		length_outside_285_360;ambiguous_type_label;weak_A89_alignment	2026-08-21
I2CMI7|ambiguous|a89_local_alignment_provisional	I2CMI7	UniProtKB	Rhinovirus C	463676	ambiguous	UniProtKB unreviewed (TrEMBL)	2070	285	1078	1362	a89_local_alignment_provisional	provisional	0.8754	0.5448	0.0000	excluded	False		ambiguous_type_label;weak_A89_alignment	2026-08-21
