system_id	construct_id	junction	tag_form	replica	completed_ns	frame_count	temperature_qc	pressure_qc	energy_qc	coordinate_integrity_qc	ranking_inclusion	failure_or_gap_reason
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_224_225_HA_112_321	A89_2C_224_225_HA	224|225	HA	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_224_225_MAP8_112_321	A89_2C_224_225_MAP8	224|225	MAP8	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_248_249_MAP8_112_321	A89_2C_248_249_MAP8	248|249	MAP8	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_248_249_HA_112_321	A89_2C_248_249_HA	248|249	HA	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_203_204_G196_minimal_112_321	A89_2C_203_204_G196_minimal	203|204	G196_minimal	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_256_257_MAP8_112_321	A89_2C_256_257_MAP8	256|257	MAP8	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	1	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	2	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
A89_2C_155_156_MAP8_112_321	A89_2C_155_156_MAP8	155|156	MAP8	3	0	0	not_available	not_available	not_available	not_available	excluded_no_trajectory	production_md_not_completed_in_current_checkpoint
