section	entity	metric	value	status	detail
per_construct	A89_2C_289_290_G196_practical_GS	models_or_seeds_per_construct	1	info	seeds=11; junction=289|290; tag=G196_practical_GS
per_construct	A89_2C_289_290_HA	models_or_seeds_per_construct	1	info	seeds=11; junction=289|290; tag=HA
per_construct	A89_2C_289_290_MAP8	models_or_seeds_per_construct	3	info	seeds=11,21,22; junction=289|290; tag=MAP8
per_construct	A89_2C_290_291_G196_minimal	models_or_seeds_per_construct	3	info	seeds=11,21,22; junction=290|291; tag=G196_minimal
per_construct	A89_2C_290_291_G196_practical_GS	models_or_seeds_per_construct	1	info	seeds=11; junction=290|291; tag=G196_practical_GS
per_construct	A89_2C_290_291_HA	models_or_seeds_per_construct	1	info	seeds=11; junction=290|291; tag=HA
per_construct	A89_2C_290_291_MAP8	models_or_seeds_per_construct	3	info	seeds=11,21,22; junction=290|291; tag=MAP8
per_tag	MAP8	unique_constructs_per_tag	10	info	
per_tag	HA	unique_constructs_per_tag	10	info	
per_tag	G196_minimal	unique_constructs_per_tag	10	info	
per_tag	G196_practical_GS	unique_constructs_per_tag	10	info	
per_junction	155|156	unique_constructs_per_junction	4	info	
per_junction	203|204	unique_constructs_per_junction	4	info	
per_junction	216|217	unique_constructs_per_junction	4	info	
per_junction	224|225	unique_constructs_per_junction	4	info	
per_junction	248|249	unique_constructs_per_junction	4	info	
per_junction	256|257	unique_constructs_per_junction	4	info	
per_junction	287|288	unique_constructs_per_junction	4	info	
per_junction	288|289	unique_constructs_per_junction	4	info	
per_junction	289|290	unique_constructs_per_junction	4	info	
per_junction	290|291	unique_constructs_per_junction	4	info	
focal_construct	A89_2C_289_290_MAP8	focal_construct_present	1	pass	
focal_construct	A89_2C_289_290_G196_minimal	focal_construct_present	1	pass	
focal_construct	A89_2C_290_291_MAP8	focal_construct_present	1	pass	
focal_construct	A89_2C_290_291_G196_minimal	focal_construct_present	1	pass	
focal_construct	A89_2C_248_249_MAP8	focal_construct_present	1	pass	
focal_construct	A89_2C_248_249_HA	focal_construct_present	1	pass	
focal_construct	A89_2C_256_257_MAP8	focal_construct_present	1	pass	
focal_construct	A89_2C_224_225_MAP8	focal_construct_present	1	pass	
focal_construct	A89_2C_155_156_MAP8	focal_construct_present	1	pass	
