construct_id	metric	block_0_5_mean	block_5_10_mean	block_10_15_mean	block_15_20_mean	late_minus_early_mean	late_minus_early_sd	replica_directional_agreement	block_stability_note	directional_drift_observed	absolute_extension_threshold	absolute_extension_trigger	wt_late_minus_early_mean	candidate_minus_wt_late_minus_early	wt_differential_applicable	candidate_specific_excess_drift_vs_wt	candidate_vs_wt_drift_interpretation
A89_2C_289_290_MAP8	wt_reference_ensemble_rmsd	1.6852842596566997	1.9554430046915403	2.008445426136529	2.1011002823604845	0.4158160227037851	0.06778775323113154	3	directional_drift_all_replicas	yes	0.75	no	0.36426346538873644	0.05155255731504865	yes	no	candidate_drift_comparable_to_WT_relaxation
WT_112_321	wt_reference_ensemble_rmsd	1.2690426996541841	1.2029906698471713	1.4765955070892607	1.6333061650429206	0.36426346538873644	0.06925728922070216	3	directional_drift_all_replicas	yes	0.75	no	0.36426346538873644	NA	no	no	WT_baseline
A89_2C_155_156_MAP8	wt_defined_contact_retention	0.9013109512390088	0.9015347721822541	0.8996163069544364	0.8860049215529536	-0.015306029686055137	0.012459062950498935	0	directional_drift_all_replicas	yes	0.05	no	-0.005985486120907324	-0.009320543565147813	yes	no	candidate_contact_change_comparable_to_WT
A89_2C_224_225_MAP8	wt_defined_contact_retention	0.9011350919264588	0.8977458033573141	0.8956195043964827	0.89918653312644	-0.0019485588000187626	0.007599596207588798	2	mixed_or_low_drift	no	0.05	no	-0.005985486120907324	0.004036927320888561	yes	no	candidate_contact_change_comparable_to_WT
A89_2C_248_249_HA	wt_defined_contact_retention	0.9152677857713828	0.9066826538768984	0.9014868105515585	0.9174464350088556	0.002178649237472722	0.014222672400533602	2	mixed_or_low_drift	no	0.05	no	-0.005985486120907324	0.008164135358380046	yes	no	candidate_contact_change_comparable_to_WT
A89_2C_256_257_MAP8	wt_defined_contact_retention	0.9255635491606714	0.9101199040767387	0.9025579536370903	0.8971802949797025	-0.02838325418096895	0.006212673377723348	0	directional_drift_all_replicas	yes	0.05	no	-0.005985486120907324	-0.022397768060061624	yes	no	candidate_contact_change_comparable_to_WT
A89_2C_289_290_MAP8	wt_defined_contact_retention	0.9156195043964827	0.9093525179856115	0.902669864108713	0.8818043604332221	-0.033815143963260685	0.01385485510489678	0	directional_drift_all_replicas	yes	0.05	no	-0.005985486120907324	-0.02782965784235336	yes	no	candidate_contact_change_comparable_to_WT
WT_112_321	wt_defined_contact_retention	0.9279616306954437	0.9325339728217426	0.9226538768984812	0.9219761445745364	-0.005985486120907324	0.011479637008185991	1	mixed_or_low_drift	no	0.05	no	-0.005985486120907324	NA	no	no	WT_baseline
A89_2C_155_156_MAP8	tag_total_sasa	724.8793546549479	726.4675170898439	758.691366780599	728.7127681557649	3.8334135008169974	13.153459067711234	2	mixed_or_low_drift	no	100.0	no	NA	NA	no	no	no_WT_tag_baseline_for_differential_comparison
A89_2C_224_225_MAP8	tag_total_sasa	687.7042960611979	701.1365234374999	730.8695613606773	744.4965074327257	56.79221137152782	33.7300903071475	3	directional_drift_all_replicas	yes	100.0	no	NA	NA	no	no	no_WT_tag_baseline_for_differential_comparison
A89_2C_248_249_HA	tag_total_sasa	993.9087626139323	994.0868155924478	998.613690185547	1002.0262562870199	8.117493673087742	13.11143145353519	2	mixed_or_low_drift	no	100.0	no	NA	NA	no	no	no_WT_tag_baseline_for_differential_comparison
A89_2C_256_257_MAP8	tag_total_sasa	659.7522904459635	677.3789664713541	673.9205163574219	670.8499604268791	11.097669980915574	41.05488481667203	2	mixed_or_low_drift	no	100.0	no	NA	NA	no	no	no_WT_tag_baseline_for_differential_comparison
A89_2C_289_290_MAP8	tag_total_sasa	845.8595804850261	850.8856168619792	875.5851289876301	854.3097446416718	8.450164156645732	21.692539406984558	2	mixed_or_low_drift	no	100.0	no	NA	NA	no	no	no_WT_tag_baseline_for_differential_comparison
WT_112_321	tag_total_sasa	NA	NA	NA	NA	NA	NA	NA	mixed_or_low_drift	no	100.0	no	NA	NA	no	no	WT_baseline
