construct_id	junction	tag_form	model_count	open_structure_interpretation	unresolved_conflicts	robustness_status	openmm_status	openmm_post_clashes_2A_max
A89_2C_287_288_G196_practical_GS	287|288	G196_practical_GS	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	1
A89_2C_287_288_HA	287|288	HA	1	STRUCTURE_MODEL_MIXED_OR_METHOD_DEPENDENT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_287_288_MAP8	287|288	MAP8	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_288_289_G196_minimal	288|289	G196_minimal	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_288_289_G196_practical_GS	288|289	G196_practical_GS	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_288_289_HA	288|289	HA	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_288_289_MAP8	288|289	MAP8	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_289_290_G196_minimal	289|290	G196_minimal	3	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	multi_model_available	completed_cpu_implicit_obc2_minimization	0
A89_2C_289_290_G196_practical_GS	289|290	G196_practical_GS	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_289_290_HA	289|290	HA	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_289_290_MAP8	289|290	MAP8	3	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	multi_model_available	completed_cpu_implicit_obc2_minimization	0
A89_2C_290_291_G196_minimal	290|291	G196_minimal	3	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	multi_model_available	completed_cpu_implicit_obc2_minimization	0
A89_2C_290_291_G196_practical_GS	290|291	G196_practical_GS	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_290_291_HA	290|291	HA	1	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	single_model_only	completed_cpu_implicit_obc2_minimization	0
A89_2C_290_291_MAP8	290|291	MAP8	3	RELATIVELY_LOWER_STRUCTURE_PERTURBATION__DIRECT_CONFLICT	direct_homolog_insertion_unfavorable;functional_tier_HIGH_RISK;no_HRV_A89_specific_insertion_phenotype	multi_model_available	completed_cpu_implicit_obc2_minimization	0
