probe	status	exit_code	value
which_slurm	completed	0	/opt/slurm/24.05.0/bin/sinfo | /opt/slurm/24.05.0/bin/squeue | /opt/slurm/24.05.0/bin/sbatch | /opt/slurm/24.05.0/bin/srun
sinfo_gpu_nodes	completed	0	sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | sinfo: error: Error creating slurm stream socket: Operation not permitted | slurm_load_partitions: Unable to contact slurm controller (connect failure)
squeue_user	completed	1	squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | squeue: error: Error creating slurm stream socket: Operation not permitted | slurm_load_jobs error: Unable to contact slurm controller (connect failure)
nvidia_smi	completed	0	bash: nvidia-smi: command not found
dev_nvidia	completed	0	ls: cannot access '/dev/nvidia*': No such file or directory
module_relevant	completed	0	cuda/8.0                               oneapi/debugger/2024.1.0        | cuda/11.8                              oneapi/debugger/latest          | cuda/12.4                              oneapi/dev-utilities/2024.0.0   | nccl/2.27.6_cuda12.4                   oneapi/oclfpga/2024.1.0         | oneapi/compiler-rt32/latest            python/3.9                      | oneapi/compiler/2024.1.0               pytorch/2.3.1                   | amber/24       cisTEM/1.0.0            gromacs/constantph  scipion/3.0       | ambertools/25  cisTEM/2.0.0-alpha-183  R/4.4.0             ViennaRNA/2.7.2   | APBS/3.4.1     gromacs/2024.2          relion/5.0
command_paths	completed	0	colabfold_batch=colabfold_search=colabfold_download=colabfold_relax=nvidia-smi=python3=/usr/bin/python3 | pip3=/usr/bin/pip3 | micromamba=conda=mamba=usalign=USalign=TMalign=TM-align=mkdssp=dssp=mmseqs=kalign=jackhmmer=hhblits=
micromamba_info	completed	0	libmamba version : 2.9.0 |      micromamba version : 2.9.0 |            curl version : libcurl/8.21.0 OpenSSL/3.5.7 zlib/1.3.2 zstd/1.5.7 libpsl/0.23.0 libssh2/1.11.1 nghttp2/1.68.1 mit-krb5/1.22.2 |      libarchive version : libarchive 3.8.9 zlib/1.3.2 bz2lib/1.0.8 libzstd/1.5.7 libb2/bundled |        envs directories : /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.tools/envs |           package cache : /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.tools/pkgs |                           /public/home/yukang/.mamba/pkgs |             environment : base |            env location : /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.tools |       user config files : /public/home/yukang/.mambarc |  populated config files :  |        virtual packages : __unix=0=0 |                           __linux=4.18.0=0 |                           __glibc=2.28=0 |                           __archspec=1=x86_64_v4 |                channels : https://conda.anaconda.org/conda-forge/linux-64 |                           https://conda.anaconda.org/conda-forge/noarch |        base environment : /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.tools |                platform : linux-64
.tools/envs/open_structure_007/bin/python:version	completed	0	Python 3.10.21
.tools/envs/open_structure_007/bin/python:python_modules	completed	0	python_executable /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.tools/envs/open_structure_007/bin/python | colabfold OK | jax OK | openmm OK | MDAnalysis OK | mdtraj OK | Bio OK | pandas OK | scipy OK | numpy OK
/public/home/yukang/.conda/envs/hrv2c_hexamer/bin/python:version	completed	0	Python 3.11.15
/public/home/yukang/.conda/envs/hrv2c_hexamer/bin/python:python_modules	completed	0	python_executable /public/home/yukang/.conda/envs/hrv2c_hexamer/bin/python | colabfold MISSING | jax MISSING | openmm MISSING | MDAnalysis OK | mdtraj OK | Bio OK | pandas OK | scipy OK | numpy OK
.tools/envs/hrv2c-one-shot/bin/python3.11:version	completed	0	Python 3.11.15
.tools/envs/hrv2c-one-shot/bin/python3.11:python_modules	completed	0	python_executable /public/home/yukang/wf/HRV-A89-2C-small-tag-and-insertion-site-prioritization/.tools/envs/hrv2c-one-shot/bin/python3.11 | colabfold MISSING | jax MISSING | openmm MISSING | MDAnalysis MISSING | mdtraj MISSING | Bio OK | pandas OK | scipy OK | numpy OK
